Date,Open,High,Low,Close,Adj Close,Volume,,End,Daily Return,Cummulative Return,% Change
6/26/1962,52.450001,53.580002,52.099998,52.32,52.32,4630000,,1,1,1,0
6/27/1962,52.32,52.830002,51.77,52.599998,52.599998,3890000,,,1.005351644,1.005351644,0.005351644
6/28/1962,52.98,54.639999,52.98,54.41,54.41,5440000,,,1.034410686,1.039946483,0.039946483
6/29/1962,54.41,55.470001,54.200001,54.75,54.75,4720000,,,1.006248851,1.046444954,0.046444954
7/2/1962,54.75,56.02,54.470001,55.860001,55.860001,3450000,,,1.020273991,1.06766057,0.06766057
7/3/1962,55.860001,56.740002,55.57,56.490002,56.490002,3920000,,,1.011278213,1.079701873,0.079701873
7/5/1962,56.490002,57.099998,56.150002,56.810001,56.810001,3350000,,,1.005664702,1.085818062,0.085818062
7/6/1962,56.73,56.73,55.639999,56.169998,56.169998,3110000,,,0.988734325,1.073585589,0.073585589
7/9/1962,56.169998,56.73,55.540001,56.549999,56.549999,2950000,,,1.006765195,1.080848605,0.080848605
7/10/1962,56.990002,58.360001,56.990002,57.200001,57.200001,7120000,,,1.011494288,1.09327219,0.09327219
7/11/1962,57.200001,57.950001,56.77,57.73,57.73,4250000,,,1.009265717,1.103402141,0.103402141
7/12/1962,57.73,58.669998,57.59,58.029999,58.029999,5370000,,,1.005196588,1.109136067,0.109136067
7/13/1962,58.029999,58.18,57.23,57.830002,57.830002,3380000,,,0.996553558,1.105313494,0.105313494
7/16/1962,57.830002,58.099998,57.18,57.830002,57.830002,3130000,,,1,1.105313494,0.105313494
7/17/1962,57.830002,57.959999,56.68,56.779999,56.779999,3500000,,,0.981843283,1.085244629,0.085244629
7/18/1962,56.779999,56.810001,55.860001,56.200001,56.200001,3620000,,,0.989785171,1.074159041,0.074159041
7/19/1962,56.200001,56.950001,55.959999,56.419998,56.419998,3090000,,,1.003914537,1.078363876,0.078363876
7/20/1962,56.419998,57.09,56.27,56.810001,56.810001,2610000,,,1.006912496,1.085818062,0.085818062
7/23/1962,56.810001,57.32,56.529999,56.799999,56.799999,2770000,,,0.999823939,1.085626892,0.085626892
7/24/1962,56.799999,56.93,56.139999,56.360001,56.360001,2560000,,,0.992253556,1.077217144,0.077217144
7/25/1962,56.360001,56.669998,55.779999,56.459999,56.459999,2910000,,,1.001774273,1.079128421,0.079128421
7/26/1962,56.459999,57.18,56.16,56.77,56.77,2790000,,,1.005490631,1.085053517,0.085053517
7/27/1962,56.77,57.360001,56.560001,57.200001,57.200001,2890000,,,1.007574441,1.09327219,0.09327219
7/30/1962,57.200001,57.98,57.080002,57.830002,57.830002,3200000,,,1.011014003,1.105313494,0.105313494
7/31/1962,57.830002,58.580002,57.740002,58.23,58.23,4190000,,,1.00691679,1.112958716,0.112958716
8/1/1962,58.23,58.299999,57.509998,57.75,57.75,3100000,,,0.991756826,1.103784404,0.103784404
8/2/1962,57.75,58.200001,57.380001,57.98,57.98,3410000,,,1.003982684,1.108180428,0.108180428
8/3/1962,57.98,58.32,57.630001,58.119999,58.119999,5990000,,,1.002414608,1.11085625,0.11085625
8/6/1962,58.119999,58.349998,57.540001,57.75,57.75,3110000,,,0.993633878,1.103784404,0.103784404
8/7/1962,57.75,57.810001,57.07,57.360001,57.360001,2970000,,,0.993246771,1.096330294,0.096330294
8/8/1962,57.360001,57.639999,56.759998,57.509998,57.509998,3080000,,,1.00261501,1.099197209,0.099197209
8/9/1962,57.509998,57.880001,57.189999,57.57,57.57,2670000,,,1.001043332,1.100344037,0.100344037
8/10/1962,57.57,57.849998,57.16,57.549999,57.549999,2470000,,,0.999652579,1.099961755,0.099961755
8/13/1962,57.549999,57.900002,57.220001,57.630001,57.630001,2670000,,,1.00139013,1.101490845,0.101490845
8/14/1962,57.630001,58.43,57.41,58.25,58.25,3640000,,,1.010758268,1.113340979,0.113340979
8/15/1962,58.25,59.110001,58.220001,58.66,58.66,4880000,,,1.007038627,1.12117737,0.12117737
8/16/1962,58.66,59.110001,58.240002,58.639999,58.639999,4180000,,,0.999659035,1.120795088,0.120795088
8/17/1962,58.639999,59.240002,58.43,59.009998,59.009998,3430000,,,1.006309669,1.127866934,0.127866934
8/20/1962,59.009998,59.720001,58.900002,59.369999,59.369999,4580000,,,1.006100678,1.134747687,0.134747687
8/21/1962,59.369999,59.66,58.900002,59.119999,59.119999,3730000,,,0.995789119,1.1299694,0.1299694
8/22/1962,59.119999,59.93,58.91,59.779999,59.779999,4520000,,,1.011163735,1.142584079,0.142584079
8/23/1962,59.779999,60.330002,59.470001,59.700001,59.700001,4770000,,,0.998661793,1.141055065,0.141055065
8/24/1962,59.700001,59.919998,59.18,59.580002,59.580002,2890000,,,0.997989967,1.138761506,0.138761506
8/27/1962,59.580002,59.939999,59.240002,59.549999,59.549999,3140000,,,0.999496425,1.138188054,0.138188054
8/28/1962,59.549999,59.610001,58.66,58.790001,58.790001,3180000,,,0.987237649,1.123662099,0.123662099
8/29/1962,58.790001,58.959999,58.169998,58.66,58.66,2900000,,,0.997788723,1.12117737,0.12117737
8/30/1962,58.66,59.060001,58.389999,58.68,58.68,2260000,,,1.000340948,1.121559633,0.121559633
8/31/1962,58.68,59.25,58.450001,59.119999,59.119999,2830000,,,1.007498279,1.1299694,0.1299694
9/4/1962,59.119999,59.490002,58.439999,58.560001,58.560001,2970000,,,0.990527774,1.119266074,0.119266074
